Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SP1,2001-10-07,Valencia,Villarreal,1,0,H,1,0,H,,,,1.6,3.2,4.2,1.73,3.2,4.33,1.8,3.1,4.25,1.62,3.5,4.5,1.8,3.1,4.0
SP1,2001-10-07,Valladolid,Las Palmas,1,0,H,1,0,H,,,,1.9,2.8,3.3,2.0,3.2,3.2,1.95,3.2,3.4,2.0,3.2,3.2,1.9,3.2,3.5
SP1,2001-10-13,Alaves,Real Madrid,0,0,D,0,0,D,,,,2.9,2.9,2.1,2.8,3.2,2.2,,,,2.8,3.2,2.2,3.0,3.2,2.1
SP1,2001-10-13,Sevilla,Mallorca,2,2,D,2,2,D,,,,2.1,2.9,3.2,1.91,3.2,3.5,,,,2.0,3.2,3.2,1.9,3.2,3.5
SP1,2001-10-13,Zaragoza,La Coruna,1,2,A,0,1,A,,,,2.5,3.0,2.5,2.8,3.2,2.2,,,,2.6,3.2,2.38,2.62,3.1,2.37
SP1,2001-10-14,Ath Bilbao,Valladolid,1,4,A,0,2,A,,,,1.6,3.4,4.6,1.73,3.2,4.33,,,,1.73,3.2,4.33,1.66,3.3,4.5
SP1,2001-10-14,Barcelona,Valencia,2,2,D,1,1,D,,,,1.65,3.3,4.4,1.73,3.4,4.0,,,,1.73,3.2,4.33,1.66,3.3,4.5
SP1,2001-10-14,Celta,Betis,3,1,H,2,0,H,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.66,3.3,4.5
SP1,2001-10-14,Las Palmas,Espanol,2,0,H,0,0,D,,,,2.0,2.9,3.4,2.0,3.2,3.2,,,,2.1,3.0,3.2,2.1,3.2,3.0
SP1,2001-10-14,Osasuna,Tenerife,0,2,A,0,0,D,,,,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.83,3.2,3.75,,,
SP1,2001-10-14,Vallecano,Sociedad,2,1,H,1,1,D,,,,2.2,2.9,3.0,2.1,3.2,3.0,,,,2.0,3.2,3.2,2.0,3.3,3.1
SP1,2001-10-14,Villarreal,Malaga,1,2,A,1,1,D,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.61,3.3,5.0
SP1,2001-10-20,Betis,Villarreal,1,1,D,0,1,A,1.8,3.25,4.0,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.8,3.25,3.75,1.83,3.2,3.75
SP1,2001-10-20,La Coruna,Sevilla,1,0,H,1,0,H,1.38,3.85,7.6,1.35,4.0,7.0,1.4,3.75,7.0,,,,1.4,3.75,7.0,1.33,4.0,8.0
SP1,2001-10-20,Las Palmas,Ath Bilbao,1,1,D,0,1,A,2.05,3.1,3.25,2.1,2.9,3.2,2.0,3.2,3.2,,,,2.0,3.2,3.2,2.0,3.1,3.3
SP1,2001-10-20,Malaga,Barcelona,1,1,D,0,0,D,3.4,3.1,2.0,3.2,2.9,2.1,3.0,3.2,2.1,,,,3.0,3.2,2.1,3.1,3.1,2.1
