Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SP1,2000-11-12,Santander,Osasuna,0,0,D,0,0,D,1.8,3.25,3.9,1.7,3.1,3.8,1.65,3.25,4.5,1.73,3.25,4.33,,,
SP1,2000-11-12,Valencia,Vallecano,2,2,D,0,1,A,1.5,3.6,5.8,1.4,3.6,5.5,1.3,4.0,8.0,1.44,3.6,6.5,1.44,3.5,7.0
SP1,2000-11-12,Valladolid,Alaves,2,1,H,0,0,D,2.4,3.1,2.6,2.2,2.9,2.7,2.8,2.85,2.35,2.4,3.0,2.7,2.37,3.1,2.62
SP1,2000-11-18,Alaves,Valencia,1,1,D,0,0,D,2.45,3.0,2.6,2.4,2.9,2.4,2.5,3.2,2.5,2.5,3.1,2.5,2.5,3.1,2.5
SP1,2000-11-18,Las Palmas,Mallorca,1,0,H,0,0,D,2.6,3.0,2.45,2.3,2.9,2.5,2.6,3.2,2.35,2.6,3.1,2.4,2.62,2.9,2.5
SP1,2000-11-18,Osasuna,La Coruna,1,1,D,1,1,D,3.4,3.1,1.9,2.9,2.9,2.1,3.5,3.2,1.9,3.6,3.1,1.91,,,
SP1,2000-11-18,Villarreal,Real Madrid,0,1,A,0,0,D,3.4,3.0,2.0,2.9,2.9,2.1,3.0,3.2,2.1,3.0,3.2,2.1,3.0,3.0,2.2
SP1,2000-11-19,Celta,Santander,1,1,D,1,0,H,1.45,3.4,6.8,1.45,3.5,5.0,1.5,3.25,6.5,1.4,3.75,7.0,1.44,3.6,6.5
SP1,2000-11-19,Espanol,Ath Bilbao,2,1,H,1,0,H,1.9,3.0,3.8,1.9,2.9,3.2,1.9,3.0,3.75,1.83,3.2,3.75,1.9,3.25,3.4
SP1,2000-11-19,Oviedo,Valladolid,4,1,H,1,0,H,1.9,3.1,3.8,2.0,2.9,3.0,1.85,3.25,3.6,1.8,3.1,4.0,1.8,3.3,3.75
SP1,2000-11-19,Sociedad,Numancia,4,1,H,3,0,H,2.0,2.9,3.5,1.85,2.9,3.4,1.8,3.25,3.75,2.0,3.1,3.3,1.9,3.25,3.4
SP1,2000-11-19,Vallecano,Malaga,4,2,H,2,1,H,1.8,3.0,4.2,1.7,3.1,3.8,1.85,3.2,3.75,1.73,3.2,4.33,1.72,3.2,4.33
SP1,2000-11-19,Zaragoza,Barcelona,3,1,H,1,0,H,3.2,3.05,2.1,2.4,2.9,2.4,2.8,3.2,2.2,3.1,3.1,2.1,3.0,3.0,2.2
SP1,2000-11-25,Mallorca,Villarreal,2,1,H,0,1,A,1.75,3.25,4.1,1.65,3.1,4.0,1.61,3.25,5.0,1.7,3.25,4.5,1.66,3.3,4.5
SP1,2000-11-26,Ath Bilbao,Vallecano,4,2,H,3,1,H,2.05,3.25,3.1,2.0,2.9,3.0,1.91,3.0,3.75,2.0,3.1,3.3,2.1,3.2,3.0
SP1,2000-11-26,Barcelona,Osasuna,2,0,H,0,0,D,1.2,5.0,8.6,1.2,4.7,9.0,1.28,4.5,8.0,1.25,4.75,9.0,,,
SP1,2000-11-26,La Coruna,Celta,1,0,H,0,0,D,1.65,3.4,4.4,1.7,2.9,4.0,1.5,3.4,6.0,1.5,3.4,6.0,1.53,3.4,5.5
SP1,2000-11-26,Malaga,Alaves,3,1,H,2,0,H,2.3,3.05,2.8,2.2,2.8,2.8,2.25,3.0,2.87,2.25,3.0,2.88,2.37,3.1,2.62
SP1,2000-11-26,Numancia,Las Palmas,0,1,A,0,0,D,1.9,3.2,3.6,1.85,2.9,3.4,2.0,3.2,3.2,1.9,3.1,3.6,1.9,3.2,3.5
SP1,2000-11-26,Santander,Espanol,1,2,A,0,1,A,2.3,2.9,3.0,2.1,2.9,2.9,2.25,3.2,2.75,2.25,2.88,3.0,2.2,3.0,3.0
SP1,2000-11-26,Valencia,Oviedo,2,0,H,0,0,D,1.35,3.9,6.8,1.45,3.5,5.0,1.33,4.0,8.0,1.36,3.8,7.5,1.36,3.75,8.0
SP1,2000-11-26,Valladolid,Sociedad,2,1,H,2,0,H,1.9,3.2,3.65,1.9,2.9,3.2,1.91,3.2,3.5,1.9,3.2,3.5,1.83,3.3,3.6
SP1,2000-12-02,Celta,Barcelona,3,3,D,3,1,H,2.65,3.0,2.4,2.3,2.9,2.5,,,,2.5,3.1,2.5,2.5,3.1,2.5
SP1,2000-12-02,Espanol,La Coruna,0,2,A,0,0,D,2.65,2.9,2.55,2.4,2.9,2.4,,,,2.7,3.0,2.38,2.5,3.1,2.5
SP1,2000-12-02,Osasuna,Real Madrid,2,3,A,1,1,D,4.0,3.2,1.8,3.2,2.9,1.9,,,,3.75,3.1,1.85,,,
SP1,2000-12-02,Vallecano,Santander,4,1,H,1,1,D,1.61,3.2,5.3,1.65,3.1,4.0,,,,1.53,3.4,5.5,1.53,3.4,5.5
