Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
SP1,2004-09-26,Zaragoza,Levante,4,3,H,1,2,A,1.72,3.25,4.33,1.75,3.35,4.3,1.75,3.4,4.65,1.85,3.1,3.6,1.62,3.25,5.0,1.73,3.4,4.33,1.7,3.2,4.5,1.85,1.85,1.95,1.85,2.45,1.5,-1.0,1.98,1.86,-0.75,2.05,1.85,-0.75,,,,,
SP1,2004-10-02,Betis,Valencia,1,1,D,1,1,D,3.4,3.25,2.1,3.4,3.25,2.0,3.5,3.25,2.05,3.2,3.1,2.0,3.2,3.2,2.0,3.4,3.25,2.0,3.1,3.1,2.1,1.79,1.9,1.95,1.85,2.6,1.45,0.0,1.84,2.0,0.5,1.85,2.05,0.5,,,,,
SP1,2004-10-02,Sociedad,Ath Madrid,1,0,H,1,0,H,2.5,3.2,2.75,2.4,3.2,2.7,2.5,3.2,2.7,2.3,2.9,2.8,2.2,3.25,2.75,2.6,3.0,2.6,2.4,3.1,2.6,1.95,1.75,2.05,1.75,2.2,1.6,-0.25,2.02,1.82,-0.25,2.1,1.8,-0.25,,,,,
SP1,2004-10-03,Albacete,Espanol,1,0,H,0,0,D,2.4,3.2,2.6,2.5,3.15,2.6,2.6,3.15,2.65,2.4,3.0,2.6,2.6,3.2,2.38,2.6,3.0,2.6,2.5,3.1,2.5,1.95,1.75,2.15,1.66,2.2,1.6,-0.25,1.82,2.02,0.0,1.8,2.1,0.0,,,,,
SP1,2004-10-03,Barcelona,Numancia,1,0,H,0,0,D,1.2,5.0,12.0,1.15,6.25,14.0,1.2,5.75,14.0,1.2,5.0,10.0,1.2,5.0,11.0,1.17,6.0,13.0,1.2,5.0,11.0,1.6,2.15,1.66,2.15,2.15,1.65,-2.25,2.06,1.78,-2.0,2.125,1.775,0.0,,,,,
SP1,2004-10-03,Getafe,Ath Bilbao,3,1,H,1,0,H,2.4,3.2,2.6,2.75,3.2,2.35,2.7,3.15,2.55,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.5,3.1,2.5,1.79,1.9,2.0,1.8,2.2,1.6,-0.25,2.08,1.76,0.0,2.1,1.8,0.0,,,,,
SP1,2004-10-03,Levante,Mallorca,2,0,H,2,0,H,2.0,3.25,3.25,2.0,3.25,3.4,2.05,3.25,3.5,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.2,2.05,3.1,3.2,1.95,1.75,2.0,1.8,1.45,2.6,0.0,1.8,2.04,-0.25,1.775,2.125,-0.25,,,,,
SP1,2004-10-03,Malaga,Osasuna,2,0,H,1,0,H,1.9,3.25,3.5,2.05,3.25,3.25,2.2,3.2,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.2,2.1,3.2,3.0,1.85,1.85,2.1,1.7,1.6,2.2,0.0,1.82,2.02,-0.25,1.9,2.0,-0.25,,,,,
SP1,2004-10-03,Real Madrid,La Coruna,0,1,A,0,1,A,1.61,3.4,6.0,1.5,3.6,6.25,1.57,3.55,6.25,1.55,3.5,4.8,1.57,3.5,5.0,1.57,3.6,5.5,1.53,3.5,5.5,1.71,2.0,1.75,2.05,2.2,1.6,-1.25,1.88,1.96,-1.0,1.925,1.975,-1.0,,,,,
SP1,2004-10-03,Santander,Sevilla,0,0,D,0,0,D,2.4,3.2,2.6,2.4,3.2,2.7,2.55,3.15,2.7,2.4,2.9,2.7,2.38,3.2,2.6,2.5,3.2,2.6,2.4,3.1,2.6,2.0,1.71,2.0,1.8,2.2,1.6,-0.25,1.84,2.0,0.0,1.9,2.0,0.0,,,,,
SP1,2004-10-03,Villarreal,Zaragoza,2,0,H,1,0,H,2.1,3.25,3.0,1.9,3.25,3.75,2.05,3.25,3.5,2.0,3.0,3.3,2.1,3.2,3.0,2.05,3.2,3.3,2.0,3.1,3.3,1.9,1.79,2.05,1.75,1.45,2.6,0.0,2.0,1.84,-0.5,2.05,1.85,-0.5,,,,,
SP1,2004-10-16,Betis,Real Madrid,1,1,D,1,0,H,3.5,3.2,2.1,3.15,3.25,2.1,3.2,3.2,2.2,3.1,3.0,2.1,2.8,3.2,2.2,3.2,3.25,2.1,3.0,3.1,2.15,1.85,1.85,2.0,1.8,2.05,1.75,0.25,2.1,1.74,0.25,2.1,1.8,0.25,,,,,
