Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
F1,2000-10-22,Marseille,Lille,0,1,A,0,0,D,1.65,3.2,4.5,1.7,3.1,3.8,,,,1.62,3.4,5.0,1.57,3.25,5.5
F1,2000-10-28,Strasbourg,Marseille,1,1,D,1,0,H,2.4,3.1,2.65,2.4,2.9,2.4,,,,2.4,3.2,2.6,2.5,3.1,2.5
F1,2000-10-29,Bastia,St Etienne,0,0,D,0,0,D,1.6,3.25,5.25,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.66,3.1,5.0
F1,2000-10-29,Lille,Toulouse,1,0,H,0,0,D,1.57,3.2,5.6,1.5,3.4,4.7,,,,1.53,3.4,5.8,1.53,3.4,5.5
F1,2000-10-29,Lyon,Auxerre,2,2,D,1,1,D,1.8,3.15,4.0,1.7,3.1,3.8,,,,1.7,3.3,4.4,1.66,3.1,5.0
F1,2000-10-29,Metz,Lens,2,1,H,1,1,D,2.1,3.0,3.2,2.1,2.8,3.0,,,,2.05,3.2,3.2,2.1,3.0,3.2
F1,2000-10-29,Paris SG,Bordeaux,1,2,A,0,1,A,1.6,3.25,5.1,1.65,3.1,4.0,,,,1.62,3.3,5.2,1.61,3.3,5.0
F1,2000-10-29,Rennes,Guingamp,1,2,A,0,1,A,2.05,3.0,3.35,1.9,2.8,3.3,,,,2.0,3.1,3.4,1.9,3.0,3.75
F1,2000-10-29,Sedan,Nantes,2,0,H,1,0,H,2.0,3.1,3.35,1.9,2.9,3.2,,,,2.0,3.1,3.4,1.9,3.2,3.5
F1,2000-10-29,Troyes,Monaco,1,0,H,0,0,D,2.7,2.95,2.45,2.4,2.9,2.4,,,,2.6,3.2,2.4,2.62,3.1,2.4
F1,2000-11-03,Monaco,Lyon,0,2,A,0,1,A,1.75,3.25,4.2,1.8,2.9,3.6,,,,1.75,3.2,4.2,1.8,3.1,4.0
F1,2000-11-04,Auxerre,Paris SG,1,0,H,0,0,D,2.8,3.25,2.2,2.4,2.8,2.5,,,,2.6,3.0,2.5,2.5,2.9,2.6
F1,2000-11-04,Bordeaux,Lille,1,0,H,0,0,D,1.8,3.35,3.8,1.75,3.1,3.6,,,,1.73,3.25,4.2,1.66,3.3,4.5
F1,2000-11-04,Guingamp,Sedan,0,3,A,0,1,A,2.05,3.05,3.3,1.9,2.8,3.3,,,,1.95,3.1,3.5,1.9,3.1,3.6
F1,2000-11-04,Lens,Bastia,4,0,H,0,0,D,2.1,3.05,3.25,1.9,2.8,3.3,,,,2.0,3.0,3.5,1.9,3.1,3.6
F1,2000-11-04,Marseille,Rennes,0,1,A,0,1,A,,,,,,,,,,,,,,,
F1,2000-11-04,Nantes,Metz,2,0,H,1,0,H,1.8,3.2,4.0,1.85,2.9,3.4,,,,1.75,3.2,4.2,1.75,3.15,4.0
