Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
F1,2001-10-13,Rennes,Guingamp,2,1,H,1,0,H,,,,2.0,2.9,3.4,,,,,,,2.0,3.0,3.4,1.9,3.0,3.75
F1,2001-10-13,Sochaux,Bastia,4,1,H,2,0,H,,,,1.9,2.9,3.8,,,,,,,1.91,3.2,3.5,1.9,3.1,3.6
F1,2001-10-14,Paris SG,Lyon,2,2,D,1,2,A,,,,2.1,2.8,3.3,,,,,,,2.25,3.0,2.88,2.1,2.87,3.3
F1,2001-10-20,Bastia,Rennes,1,2,A,0,0,D,1.85,3.1,4.0,1.85,3.1,3.6,1.8,3.25,3.75,,,,,,,1.8,3.1,4.0
F1,2001-10-20,Guingamp,Monaco,2,1,H,1,0,H,2.3,3.0,2.9,2.5,2.8,2.7,2.4,3.25,2.5,,,,,,,2.37,2.87,2.8
F1,2001-10-20,Lens,Montpellier,2,0,H,1,0,H,1.5,3.45,6.25,1.5,3.5,5.4,1.44,3.4,7.0,,,,,,,1.5,3.3,6.5
F1,2001-10-20,Lyon,Sochaux,1,1,D,0,1,A,1.55,3.45,5.55,1.55,3.4,5.0,1.57,3.25,5.5,,,,,,,1.57,3.3,5.5
F1,2001-10-20,Marseille,Lille,0,0,D,0,0,D,2.45,2.9,2.75,2.3,2.8,2.9,2.5,2.87,2.62,,,,,,,2.3,2.8,3.0
F1,2001-10-20,Nantes,Auxerre,2,2,D,0,0,D,2.4,3.0,2.75,2.2,2.9,3.0,2.5,3.2,2.5,,,,,,,2.3,3.0,2.8
F1,2001-10-21,Bordeaux,Metz,1,0,H,0,0,D,1.6,3.3,5.3,1.5,3.5,5.4,1.61,3.25,5.0,,,,,,,1.57,3.3,5.5
F1,2001-10-21,Sedan,Paris SG,1,2,A,0,0,D,2.6,2.8,2.7,2.6,2.8,2.6,3.2,3.0,2.1,,,,,,,2.62,2.75,2.62
F1,2001-10-21,Troyes,Lorient,4,2,H,1,2,A,1.85,3.2,3.8,1.8,3.1,3.8,1.8,3.2,4.0,,,,,,,1.8,3.1,4.0
F1,2001-10-26,Auxerre,Marseille,2,0,H,2,0,H,1.77,3.15,4.25,1.8,3.1,3.8,1.73,3.0,4.5,1.8,3.1,4.0,,,,1.83,3.0,4.0
F1,2001-10-27,Bordeaux,Sedan,2,1,H,0,1,A,1.55,3.35,5.75,1.5,3.5,5.4,1.44,3.5,7.0,1.5,3.6,5.5,,,,1.53,3.25,6.0
F1,2001-10-27,Lille,Metz,2,0,H,2,0,H,1.5,3.5,6.1,1.55,3.4,5.0,1.61,3.25,5.0,1.53,3.4,5.5,,,,1.5,3.4,6.0
F1,2001-10-27,Lorient,Guingamp,6,2,H,2,1,H,2.05,3.0,3.4,1.9,3.0,3.6,2.37,3.0,2.75,2.1,3.0,3.2,,,,2.1,2.87,3.3
F1,2001-10-27,Monaco,Lyon,2,1,H,0,0,D,2.38,2.95,2.8,2.2,2.8,3.1,2.5,3.2,2.5,2.4,3.0,2.7,,,,2.5,2.8,2.75
F1,2001-10-27,Montpellier,Troyes,2,0,H,1,0,H,2.35,2.9,2.88,2.3,2.8,2.9,2.5,2.87,2.62,2.4,3.0,2.7,,,,2.5,2.8,2.75
F1,2001-10-27,Paris SG,Bastia,1,0,H,1,0,H,1.62,3.3,5.1,1.5,3.5,5.4,1.44,3.6,6.5,1.62,3.3,5.0,,,,1.57,3.3,5.5
F1,2001-10-27,Rennes,Lens,1,2,A,1,2,A,2.47,2.9,2.72,2.5,2.8,2.7,2.5,3.2,2.5,2.4,3.1,2.6,,,,2.37,3.0,2.7
F1,2001-10-27,Sochaux,Nantes,0,1,A,0,0,D,1.85,3.1,3.95,2.0,2.9,3.4,1.8,3.2,4.0,1.8,3.25,3.8,,,,1.72,3.25,4.2
F1,2001-11-03,Bastia,Lorient,3,1,H,0,1,A,1.85,3.15,3.9,1.8,3.1,3.8,1.83,3.2,3.75,1.9,3.1,3.75,1.91,3.0,3.75,1.83,3.0,4.0
F1,2001-11-03,Guingamp,Sochaux,0,0,D,0,0,D,2.1,3.0,3.25,2.0,2.9,3.4,2.1,3.2,3.0,2.05,3.0,3.4,2.1,3.1,3.1,1.9,3.0,3.75
F1,2001-11-03,Marseille,Rennes,2,1,H,1,0,H,1.87,3.1,3.85,1.85,3.0,3.8,1.8,3.2,4.0,1.9,3.1,3.75,1.83,3.0,4.0,1.9,2.87,4.0
F1,2001-11-03,Nantes,Monaco,2,1,H,2,0,H,2.05,3.05,3.35,2.2,2.8,3.1,2.25,3.2,2.75,2.1,3.1,3.1,2.1,3.0,3.2,2.0,2.87,3.6
F1,2001-11-03,Sedan,Montpellier,2,0,H,1,0,H,1.92,3.1,3.7,1.8,3.0,4.0,2.1,3.0,3.2,1.91,3.0,3.8,1.91,3.0,3.75,1.8,3.1,4.0
F1,2001-11-04,Lens,Bordeaux,0,0,D,0,0,D,2.0,3.0,3.55,2.2,2.8,3.1,2.1,3.0,3.2,2.0,3.1,3.4,1.91,3.1,3.6,2.0,3.0,3.4
F1,2001-11-04,Lyon,Lille,4,2,H,2,2,D,1.86,3.05,3.9,1.9,3.0,3.6,1.91,3.0,3.75,1.85,3.1,4.0,1.83,3.0,4.0,1.83,2.87,4.33
F1,2001-11-04,Metz,Auxerre,2,0,H,1,0,H,2.65,2.9,2.55,2.6,2.8,2.6,2.6,3.2,2.37,2.62,3.0,2.5,2.5,2.88,2.62,2.6,2.8,2.6
F1,2001-11-04,Troyes,Paris SG,1,0,H,0,0,D,2.5,2.9,2.7,2.5,2.8,2.7,2.75,3.0,2.37,2.5,3.0,2.6,2.4,2.88,2.75,2.5,2.9,2.62
F1,2001-11-16,Monaco,Marseille,1,1,D,0,0,D,1.82,3.15,4.0,1.75,3.1,4.0,,,,1.9,3.0,3.75,,,,1.8,3.0,4.2
F1,2001-11-17,Auxerre,Lille,2,1,H,1,0,H,2.2,3.1,2.95,2.1,2.8,3.3,2.1,3.0,3.2,2.2,3.0,3.0,2.25,2.88,3.0,2.1,2.87,3.3
F1,2001-11-17,Bordeaux,Troyes,2,3,A,1,1,D,1.7,3.25,4.55,1.7,3.2,4.2,1.61,3.25,5.0,1.75,3.1,4.33,1.67,3.25,4.5,1.72,3.1,4.5
F1,2001-11-17,Lens,Sedan,1,0,H,1,0,H,1.5,3.5,6.1,1.55,3.4,5.0,1.44,3.6,6.5,1.44,3.6,6.5,1.4,3.6,7.5,1.5,3.3,6.5
F1,2001-11-17,Lorient,Lyon,0,3,A,0,3,A,2.8,3.0,2.35,2.8,2.9,2.3,2.75,3.2,2.25,2.7,3.0,2.4,2.75,2.88,2.4,2.8,2.87,2.37
F1,2001-11-17,Montpellier,Bastia,2,1,H,1,0,H,2.15,3.0,3.15,2.0,3.0,3.3,2.25,3.2,2.75,2.1,3.0,3.2,2.2,2.88,3.1,2.1,2.87,3.3
F1,2001-11-17,Paris SG,Guingamp,1,1,D,0,0,D,1.52,3.4,5.75,1.5,3.5,5.4,1.5,3.25,6.5,1.5,3.4,6.0,1.5,3.3,6.5,1.53,3.25,6.0
F1,2001-11-17,Rennes,Nantes,2,0,H,0,0,D,2.35,3.1,2.7,2.2,2.9,3.0,2.4,3.25,2.5,2.38,3.1,2.62,2.3,3.1,2.7,2.3,3.1,2.75
F1,2001-11-17,Sochaux,Metz,2,0,H,1,0,H,1.75,3.2,4.3,1.75,3.1,4.0,1.73,3.4,4.0,1.67,3.25,4.6,1.73,3.2,4.33,1.66,3.3,4.5
F1,2001-11-24,Bastia,Bordeaux,1,2,A,0,1,A,2.42,2.95,2.75,2.4,2.8,2.8,2.5,3.2,2.5,2.4,2.88,2.8,,,,2.37,2.9,2.8
F1,2001-11-24,Guingamp,Montpellier,2,2,D,1,1,D,1.8,3.1,4.2,1.8,3.0,4.0,1.73,3.2,4.33,1.8,3.0,4.2,,,,1.8,3.0,4.2
F1,2001-11-24,Marseille,Sochaux,4,2,H,2,1,H,1.96,3.0,3.65,1.9,2.9,3.8,2.25,2.87,3.0,1.9,3.0,3.8,,,,1.9,3.0,3.75
F1,2001-11-24,Metz,Monaco,1,0,H,0,0,D,2.28,2.95,2.95,2.3,2.8,2.9,2.25,3.2,2.75,2.25,3.0,2.88,,,,2.1,3.0,3.2
F1,2001-11-24,Sedan,Lorient,5,0,H,4,0,H,1.95,3.1,3.55,1.8,3.0,4.0,2.1,3.0,3.2,1.9,3.0,3.8,,,,1.8,3.0,4.2
F1,2001-11-24,Troyes,Lens,1,1,D,0,1,A,2.35,3.0,2.8,2.3,2.8,2.9,2.5,3.2,2.5,2.38,3.0,2.7,,,,2.2,3.0,3.0
F1,2001-11-25,Lille,Rennes,1,0,H,0,0,D,1.52,3.45,5.9,1.6,3.2,5.0,1.57,3.25,5.5,1.53,3.3,6.0,,,,1.57,3.3,5.5
F1,2001-11-25,Lyon,Auxerre,3,0,H,2,0,H,1.78,3.1,4.3,1.75,3.2,4.0,2.0,3.2,3.2,1.73,3.1,4.5,,,,1.66,3.1,5.0
F1,2001-11-25,Nantes,Paris SG,1,2,A,1,0,H,2.32,2.9,2.95,2.4,2.8,2.8,2.62,2.87,2.5,2.25,3.0,2.9,,,,2.25,2.8,3.1
F1,2001-11-28,Bordeaux,Guingamp,2,0,H,1,0,H,1.58,3.35,5.45,1.6,3.2,5.0,1.57,3.25,5.5,1.53,3.3,6.0,1.57,3.25,5.5,1.61,3.3,5.0
F1,2001-11-28,Lens,Bastia,7,0,H,3,0,H,1.5,3.45,6.25,1.5,3.5,5.4,1.5,3.4,6.0,1.5,3.3,6.5,1.44,3.5,7.0,1.5,3.3,6.5
F1,2001-11-28,Lorient,Nantes,1,2,A,1,0,H,2.4,3.0,2.75,2.3,2.9,2.8,2.4,3.0,2.62,2.4,2.88,2.8,2.38,3.0,2.7,2.5,2.9,2.62
F1,2001-11-28,Monaco,Lille,2,2,D,1,1,D,2.25,2.95,3.0,2.1,2.9,3.2,2.37,2.87,2.8,2.25,2.88,3.0,2.3,2.88,2.9,2.25,3.0,2.87
F1,2001-11-28,Montpellier,Lyon,3,0,H,1,0,H,,,,,,,,,,,,,,,,,,
F1,2001-11-28,Rennes,Metz,0,0,D,0,0,D,1.72,3.15,4.6,1.75,3.2,4.0,1.8,3.2,4.0,1.8,3.1,4.0,1.73,3.1,4.5,1.66,3.1,5.0
F1,2001-11-28,Sochaux,Auxerre,1,2,A,0,1,A,2.2,2.95,3.1,2.2,2.8,3.1,2.25,3.0,2.87,2.2,3.0,3.0,2.2,3.0,3.0,2.2,3.0,3.0
F1,2001-11-28,Troyes,Sedan,1,1,D,1,1,D,1.62,3.3,5.1,1.7,3.2,4.2,1.61,3.25,5.0,1.57,3.4,5.25,1.62,3.25,5.0,1.57,3.5,5.0
F1,2001-11-29,Paris SG,Marseille,0,0,D,0,0,D,1.75,3.1,4.5,1.8,3.0,4.0,1.61,3.25,5.0,1.73,3.1,4.5,1.73,3.1,4.5,1.72,3.1,4.5
F1,2001-12-08,Auxerre,Monaco,2,0,H,0,0,D,1.72,3.25,4.4,1.75,3.2,4.0,1.8,3.2,4.0,1.67,3.3,4.6,1.73,3.2,4.33,1.66,3.1,5.0
F1,2001-12-08,Bastia,Troyes,2,0,H,0,0,D,2.25,3.1,2.85,2.3,2.9,2.8,2.25,3.2,2.75,2.5,3.0,2.6,2.38,3.0,2.7,2.25,3.0,2.87
