Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
I1,2001-10-14,Parma,Piacenza,2,2,D,1,0,H,,,,1.55,3.4,5.0,1.5,3.4,6.0,,,,1.53,3.25,6.0,1.5,3.25,6.5
I1,2001-10-14,Udinese,Inter,1,1,D,0,0,D,,,,3.3,2.8,2.1,3.2,3.0,2.1,,,,3.4,3.0,2.0,3.75,2.8,2.0
I1,2001-10-14,Verona,Bologna,0,1,A,0,1,A,,,,2.1,2.8,3.3,2.25,2.87,3.0,,,,2.25,2.88,3.0,2.2,2.8,3.2
I1,2001-10-20,Bologna,Juventus,0,0,D,0,0,D,3.05,3.0,2.2,3.2,2.9,2.1,,,,,,,3.0,3.0,2.2,3.1,2.8,2.25
I1,2001-10-21,Atalanta,Udinese,1,5,A,0,1,A,1.95,3.0,3.7,2.1,2.9,3.2,2.1,2.8,3.4,,,,1.91,3.0,3.75,2.0,2.9,3.6
I1,2001-10-21,Chievo,Parma,1,0,H,1,0,H,2.45,2.85,2.8,2.5,2.8,2.7,2.25,3.0,2.87,,,,2.38,2.88,2.8,2.4,2.8,2.87
I1,2001-10-21,Fiorentina,Verona,0,2,A,0,1,A,1.75,3.2,4.3,1.75,3.2,4.0,1.61,3.25,5.0,,,,1.73,3.2,4.33,1.72,3.1,4.5
I1,2001-10-21,Inter,Milan,2,4,A,1,0,H,,,,2.3,2.8,2.9,2.5,2.87,2.62,,,,2.5,2.88,2.62,2.5,2.8,2.7
I1,2001-10-21,Piacenza,Brescia,0,1,A,0,1,A,2.1,2.9,3.4,2.2,2.8,3.1,2.2,2.75,3.25,,,,2.1,3.0,3.2,2.1,2.8,3.4
I1,2001-10-21,Roma,Lecce,5,1,H,2,0,H,1.32,4.1,8.0,1.35,4.0,7.0,1.3,4.33,8.0,,,,1.3,4.33,8.0,1.33,4.0,8.0
I1,2001-10-21,Torino,Perugia,1,0,H,1,0,H,2.1,2.9,3.4,2.0,2.9,3.4,2.0,3.0,3.4,,,,2.0,2.88,3.6,2.1,2.8,3.4
