Match Number,Round Number,Date,Location,Home Team,Away Team,Result
179,20,2026-01-31,Signal Iduna Park,Dortmund,Heidenheim,
180,20,2026-01-31,Deutsche Bank Park,Ein Frankfurt,Leverkusen,
181,21,2026-02-07,RheinEnergieStadion,FC Koln,RB Leipzig,
182,21,2026-02-07,Voith-Arena,Heidenheim,Hamburg,
183,21,2026-02-07,Millerntor-Stadion,St Pauli,Stuttgart,
184,21,2026-02-07,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Ein Frankfurt,
185,21,2026-02-07,Volkswagen Arena,Wolfsburg,Dortmund,
186,21,2026-02-07,Borussia-Park,M'gladbach,Leverkusen,
187,21,2026-02-07,Mewa Arena,Mainz,Augsburg,
188,21,2026-02-07,Europa-Park Stadion,Freiburg,Werder Bremen,
189,21,2026-02-07,Allianz Arena,Bayern Munich,Hoffenheim,
190,22,2026-02-14,Volksparkstadion,Hamburg,Union Berlin,
191,22,2026-02-14,PreZero Arena,Hoffenheim,Freiburg,
192,22,2026-02-14,WWK Arena,Augsburg,Heidenheim,
193,22,2026-02-14,MHPArena,Stuttgart,FC Koln,
194,22,2026-02-14,Weserstadion,Werder Bremen,Bayern Munich,
195,22,2026-02-14,Red Bull Arena,RB Leipzig,Wolfsburg,
196,22,2026-02-14,Signal Iduna Park,Dortmund,Mainz,
197,22,2026-02-14,Deutsche Bank Park,Ein Frankfurt,M'gladbach,
198,22,2026-02-14,BayArena,Leverkusen,St Pauli,
199,23,2026-02-21,RheinEnergieStadion,FC Koln,Hoffenheim,
200,23,2026-02-21,Voith-Arena,Heidenheim,Stuttgart,
201,23,2026-02-21,Millerntor-Stadion,St Pauli,Werder Bremen,
202,23,2026-02-21,An der Alten FÃÂÃÂ¶rsterei,Union Berlin,Leverkusen,
203,23,2026-02-21,Volkswagen Arena,Wolfsburg,Augsburg,
204,23,2026-02-21,Red Bull Arena,RB Leipzig,Dortmund,
205,23,2026-02-21,Mewa Arena,Mainz,Hamburg,
206,23,2026-02-21,Europa-Park Stadion,Freiburg,M'gladbach,
207,23,2026-02-21,Allianz Arena,Bayern Munich,Ein Frankfurt,
208,24,2026-02-28,Volksparkstadion,Hamburg,RB Leipzig,
209,24,2026-02-28,PreZero Arena,Hoffenheim,St Pauli,
210,24,2026-02-28,WWK Arena,Augsburg,FC Koln,
211,24,2026-02-28,Borussia-Park,M'gladbach,Union Berlin,
212,24,2026-02-28,MHPArena,Stuttgart,Wolfsburg,
213,24,2026-02-28,Weserstadion,Werder Bremen,Heidenheim,
214,24,2026-02-28,Signal Iduna Park,Dortmund,Bayern Munich,
215,24,2026-02-28,Deutsche Bank Park,Ein Frankfurt,Freiburg,
