Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
D1,2003-09-27,Hansa Rostock,Bayern Munich,1,2,A,0,1,A,17,12,15,15,9,4,3,2,0,0,4.5,3.4,1.66,5.0,3.4,1.67,4.2,3.2,1.7,4.333,3.4,1.667,4.5,3.4,1.67,4.5,3.4,1.66,4.2,3.25,1.72,1.65,2.05,1.72,2.0,1.9,1.9,0.75,1.9,1.95,0.75,1.95,1.95,0.75,,,,,
D1,2003-09-27,Kaiserslautern,Hannover,1,0,H,0,0,D,22,13,27,26,12,7,3,4,0,0,2.0,3.25,3.25,2.1,3.25,3.2,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.65,2.05,1.72,2.0,1.85,1.95,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25,,,,,
D1,2003-09-27,M'gladbach,Bochum,2,2,D,1,0,H,10,11,22,21,3,3,2,1,0,0,2.25,3.25,2.75,2.1,3.25,3.2,2.1,3.1,3.0,2.1,3.4,2.8,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,1.75,1.95,1.8,1.9,1.9,1.9,-0.25,1.85,2.0,-0.25,1.9,2.0,-0.25,,,,,
D1,2003-09-27,Munich 1860,Stuttgart,0,3,A,0,2,A,14,11,23,28,7,1,1,2,0,0,2.4,3.2,2.6,2.55,3.15,2.6,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.0,2.63,2.5,3.0,2.6,2.4,3.25,2.5,1.71,2.0,1.8,1.9,1.9,1.9,0.0,1.9,1.95,0.0,1.95,1.95,0.0,,,,,
D1,2003-09-27,Wolfsburg,Leverkusen,0,1,A,0,0,D,16,22,22,20,10,4,4,3,0,0,2.25,3.25,2.75,2.25,3.25,2.9,2.1,3.1,3.0,2.2,3.25,2.75,2.25,3.2,2.75,2.25,3.2,2.8,2.2,3.25,2.75,1.6,2.15,1.66,2.1,2.0,1.8,-0.25,2.1,1.75,-0.25,2.05,1.85,-0.25,,,,,
D1,2003-09-28,Hertha,Hamburg,1,1,D,1,0,H,10,19,37,27,10,3,4,3,0,0,1.9,3.25,3.5,1.9,3.3,3.75,1.8,3.2,3.7,1.909,3.25,3.4,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5,1.65,2.05,1.8,1.9,1.87,1.93,-0.5,2.0,1.85,-0.5,1.975,1.925,-0.5,,,,,
D1,2003-09-28,Schalke 04,Ein Frankfurt,1,1,D,1,1,D,25,5,22,14,9,2,3,1,0,0,1.57,3.4,5.5,1.51,3.75,6.0,1.45,3.8,5.4,1.4,3.75,7.0,1.53,3.4,6.0,1.53,3.4,6.0,1.5,3.6,5.5,1.71,2.0,1.8,1.9,1.95,1.85,-1.25,1.95,1.9,-1.25,2.05,1.85,-1.25,,,,,
D1,2003-10-04,Bayern Munich,Hertha,4,1,H,2,0,H,13,12,20,19,1,6,2,2,0,0,1.33,4.33,7.5,1.41,4.0,7.5,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.33,4.0,8.0,1.65,2.05,1.57,2.25,2.05,1.7,-1.5,1.9,1.95,-1.25,2.125,1.775,-1.5,,,,,
D1,2003-10-04,Bochum,Kaiserslautern,4,0,H,0,0,D,24,11,12,19,6,2,0,4,0,0,2.2,3.25,2.8,2.2,3.25,3.0,2.2,3.0,2.9,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2.1,3.2,3.0,1.65,2.05,1.72,2.0,1.95,1.85,-0.25,2.05,1.8,-0.25,1.95,1.95,-0.25,,,,,
D1,2003-10-04,Ein Frankfurt,Dortmund,0,1,A,0,1,A,9,8,24,18,2,2,2,2,0,0,2.8,3.25,2.2,3.25,3.25,2.1,3.2,3.1,2.0,3.2,3.2,2.0,3.1,3.2,2.1,3.1,3.2,2.1,3.2,3.2,2.0,1.71,2.0,1.83,1.83,1.95,1.85,0.25,1.95,1.9,0.25,1.95,1.95,0.25,,,,,
D1,2003-10-04,Freiburg,Munich 1860,1,0,H,0,0,D,14,8,21,27,9,4,2,4,0,0,2.2,3.25,2.8,2.25,3.25,2.9,2.2,3.0,2.9,2.1,3.4,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2.2,3.25,2.75,1.65,2.05,1.72,2.0,1.85,1.95,-0.25,1.85,2.0,-0.25,1.85,2.05,-0.25,,,,,
D1,2003-10-04,Hamburg,M'gladbach,2,1,H,0,1,A,15,9,27,27,6,6,3,2,0,0,1.61,3.4,5.0,1.62,3.5,5.35,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.53,3.4,6.0,1.57,3.5,5.0,1.71,2.0,1.8,1.9,1.9,1.9,-1.0,1.85,2.0,-1.0,1.95,1.95,-1.0,,,,,
D1,2003-10-04,Hannover,Schalke 04,1,2,A,1,2,A,15,12,19,19,4,4,3,2,1,0,2.1,3.25,3.0,2.25,3.25,2.9,2.1,3.0,3.1,2.2,3.25,2.75,2.25,3.2,2.8,2.1,3.2,3.1,2.1,3.2,3.0,1.71,2.0,1.66,2.1,1.9,1.9,-0.25,1.8,2.05,-0.25,1.9,2.0,-0.25,,,,,
